Designator,Mid X,Mid Y,Rotation,Layer
C1,118.555,-61.5,0.0,top
C2,70.75,-84.25,90.0,top
C3,89.525,-55.25,0.0,top
C4,82.25,-77.9,90.0,top
C5,86.5,-65.545,0.0,top
C6,89.525,-58.0,0.0,top
CD1,109.75,-110.8,0.0,top
CD2,127.5,-110.8,0.0,top
D1,105.7375,-101.5125,90.0,top
D10,73.75,-111.9,270.0,bottom
D11,82.0,-55.25,90.0,bottom
D12,73.75,-55.25,90.0,bottom
D14,163.15,-44.45,270.0,top
D2,114.7375,-101.5125,90.0,top
D3,123.7375,-101.5125,90.0,top
D4,132.7375,-101.5125,90.0,top
D5,85.25,-88.75,0.0,bottom
D6,85.25,-99.25,0.0,bottom
D7,85.25,-78.75,0.0,bottom
D8,85.25,-68.5,0.0,bottom
D9,82.0,-111.9,270.0,bottom
J1,151.675,-49.75,90.0,top
J2,151.675,-54.5,90.0,top
J3,143.375,-44.75,270.0,top
J4,83.055,-36.8,0.0,top
J5,77.0,-63.0,270.0,top
J6,77.0,-99.25,270.0,top
J7,80.5,-47.25,0.0,top
J8,80.5,-120.25,0.0,top
JP1,156.75,-65.025,180.0,top
JP10,97.525,-90.5,270.0,top
JP2,146.75,-65.025,180.0,top
JP3,151.75,-65.025,180.0,top
JP4,161.75,-65.0,180.0,top
JP5,96.25,-101.525,180.0,top
JP6,135.01,-85.75,270.0,top
JP7,105.275,-44.75,270.0,top
JP8,111.0,-44.75,90.0,top
JP9,97.525,-81.205,270.0,top
R1,105.7375,-94.4875,270.0,top
R10,122.5,-73.0,0.0,top
R11,122.5,-76.25,0.0,top
R12,105.96,-66.0,270.0,top
R13,122.5,-79.5,0.0,top
R14,122.5,-82.75,0.0,top
R15,122.5,-63.25,0.0,top
R16,122.5,-66.5,0.0,top
R17,119.55,-51.75,0.0,top
R18,112.5,-51.5,270.0,top
R19,113.75,-110.8,0.0,top
R2,156.75,-72.5,90.0,top
R20,167.0,-44.5,270.0,top
R21,131.5,-110.8,0.0,top
R3,105.75,-110.8,0.0,top
R4,123.5,-110.8,0.0,top
R5,114.7375,-94.4875,270.0,top
R6,161.75,-72.5,270.0,top
R7,123.7375,-94.4875,270.0,top
R8,122.5,-69.75,0.0,top
R9,132.7375,-94.4875,270.0,top
RV1,150.5605,-100.2375,180.0,top
SW1,144.25,-121.75,270.0,top
SW2,157.25,-121.75,270.0,top
SW3,112.25,-115.5,270.0,top
SW4,130.0,-115.5,270.0,top
U1,110.16,-64.125,0.0,top
U2,132.46,-73.0,0.0,top
U3,83.525,-57.25,0.0,top
U4,73.44,-74.855,270.0,top
